" ";"Instrument";"Test";"QC";"QC lot No.";"Target mean";"Target SD";"SDI";"Number of values";"Bias";"Calculated mean";"Calculated SD";"CV%";"Usage"
"";"C6000-A:E1-1";"proBNP";"PC CARD1";"519821";"127.000";"7.620";"0.163";"22";"0.010";"128.245";"5.718";"4.459";"Study"
"";"C6000-A:E1-1";"proBNP";"PC CARD2";"519822";"4990.000";"299.000";"0.407";"22";"0.024";"5111.773";"262.889";"5.143";"Study"
"";"C6000-B:C2";"LIPOPROTEIN A2";"PC LPA 1";"494345";"47.400";"3.200";"-0.530";"25";"-0.036";"45.704";"1.610";"3.523";"Study"
"";"C6000-B:C2";"LIPOPROTEIN A2";"PC LPA 2";"494346";"116.000";"8.000";"-0.794";"23";"-0.055";"109.651";"4.864";"4.436";"Study"
"";"OSMO1";"Osmolality";"Serim BIOLIQ 2";"45872";"410.000";"4.000";"-0.407";"110";"-0.004";"408.373";"3.199";"0.783";"In use"
"";"Osmometer3320";"Osmolality";"Serim BIOLIQ 2";"45872";"410.000";"4.000";"-2.000";"1";"-0.020";"402.000";"0.000";"0.000";"In use"
"";"C6000-A:C1";"ALBUMIN";"PCCC 2";"461597";"51.200";"1.600";"0.497";"73";"0.016";"51.996";"1.047";"2.014";"Study"
"";"C6000-A:C1";"TOTAL BILIRUBIN";"PCCC 2";"461597";"63.500";"3.800";"-0.425";"77";"-0.025";"61.884";"1.907";"3.082";"Study"
"";"C6000-A:ISE1";"SODIUM";"PCCC 2";"461597";"134.000";"4.000";"-0.116";"88";"-0.003";"133.534";"1.819";"1.362";"Study"
"";"C6000-A:ISE1";"POTASSIUM";"PCCC 2";"461597";"6.870";"0.210";"-0.176";"88";"-0.005";"6.833";"0.081";"1.190";"Study"
"";"C6000-A:ISE1";"CHLORIDE";"PCCC 2";"461597";"103.100";"3.000";"0.044";"88";"0.001";"103.232";"1.804";"1.747";"Study"
"";"C6000-A:C1";"ALKALINE PHOSPHATASE";"PCCC 2";"461597";"231.000";"14.000";"0.045";"69";"0.003";"231.623";"6.793";"2.933";"Study"
"";"C6000-A:C1";"CONJUGATED BILIRUBIN";"PCCC 2";"461597";"43.700";"3.500";"-0.730";"69";"-0.058";"41.146";"1.848";"4.491";"Study"
"";"C6000-A:C1";"CALCIUM";"PCCC 2";"461597";"3.400";"0.060";"-0.150";"70";"-0.003";"3.391";"0.031";"0.904";"Study"
"";"C6000-A:C1";"TOTAL CHOLESTEROL";"PCCC 2";"461597";"4.550";"0.230";"-0.281";"76";"-0.014";"4.485";"0.098";"2.195";"Study"
"";"C6000-A:C1";"GLUCOSE";"PCCC 2";"461597";"13.200";"0.700";"-0.143";"66";"-0.008";"13.100";"0.205";"1.562";"Study"
"";"C6000-A:C1";"MAGNESIUM";"PCCC 2";"461597";"1.280";"0.050";"0.067";"71";"0.003";"1.283";"0.017";"1.348";"Study"
"";"C6000-A:C1";"PHOSPHATE";"PCCC 2";"461597";"2.510";"0.130";"0.084";"72";"0.004";"2.521";"0.039";"1.531";"Study"
"";"C6000-A:C1";"TOTAL PROTEIN";"PCCC 2";"461597";"81.100";"2.200";"-0.100";"73";"-0.003";"80.881";"1.084";"1.340";"Study"
"";"C6000-A:C1";"UREA";"PCCC 2";"461597";"20.200";"1.000";"-0.495";"76";"-0.024";"19.705";"0.420";"2.134";"Study"
"";"C6000-A:C1";"CREATININE";"PCCC 2";"461597";"355.000";"21.000";"0.294";"136";"0.017";"361.184";"5.952";"1.648";"Study"
"";"C6000-A:C1";"IRON";"PCCC 2";"461597";"43.100";"2.600";"0.266";"67";"0.016";"43.791";"0.712";"1.625";"Study"
"";"C6000-A:C1";"URIC ACID";"PCCC 2";"461597";"0.569";"0.028";"0.054";"67";"0.003";"0.571";"0.009";"1.574";"Study"
"";"C6000-A:C1";"HDL CHOLESTEROL";"s-PCCC 2";"461597";"1.410";"0.110";"0.188";"32";"0.015";"1.431";"0.022";"1.527";"Study"
"";"C6000-A:C1";"LACTATE DEHYDROGENASE";"s-PCCC 2";"461597";"311.000";"12.900";"-0.048";"40";"-0.002";"310.375";"3.216";"1.036";"Study"
"";"C6000-A:C1";"LIPASE";"s-PCCC 2";"461597";"95.400";"5.700";"-0.290";"43";"-0.017";"93.747";"2.927";"3.123";"Study"
"";"C6000-A:C1";"C-REACTIVE PROTEIN";"s-PCCC 2";"461597";"52.700";"3.500";"-0.174";"43";"-0.012";"52.091";"2.449";"4.701";"Study"
"";"C6000-A:C1";"TRIGLYCERIDE";"s-PCCC 2";"461597";"2.430";"0.120";"0.109";"42";"0.005";"2.443";"0.046";"1.869";"Study"
"";"C6000-A:C1";"ALANINE TRANSAMINASE";"s-PCCC 2";"461597";"122.000";"7.000";"-0.008";"39";"0.000";"121.946";"2.565";"2.104";"Study"
"";"C6000-A:C1";"TRANSFERRIN";"s-PCCC 2";"461597";"3.490";"0.210";"-0.465";"48";"-0.028";"3.392";"0.135";"3.989";"Study"
"";"C6000-A:C1";"ASPARTATE TRANSAMINASE";"s-PCCC 2";"461597";"149.000";"9.000";"-0.108";"37";"-0.007";"148.027";"2.028";"1.370";"Study"
